subject,relation,object
worker,offers,voter
precinct worker,offers,voter
Mississippi 's new voter ID law,was,put to its first test in Tuesday 's primaries
Mississippi 's voter ID law,was,put to its test in Tuesday 's primaries
Mississippi 's voter ID law,was,put to its first test in Tuesday 's primaries
Mississippi 's voter ID law,was put in,Tuesday 's primaries
Mississippi 's new voter ID law,was,put to its test in Tuesday 's primaries
Mississippi 's new voter ID law,was put to,its first test
Mississippi 's voter ID law,was,put
Mississippi 's new voter ID law,was put to,its test
Mississippi 's voter ID law,was put to,its test
Mississippi,has,new voter ID law
Mississippi 's new voter ID law,was put in,Tuesday 's primaries
Tuesday,in,primaries
Mississippi 's new voter ID law,was,put
Mississippi 's voter ID law,was put to,its first test
Justin Levitt,professor at,Loyola Law School
expert,is in,constitutional law
state,with,ID requirement
Court,otherwise upheld,it
ID requirement,is on,hold
ID requirement,is on,hold pending federal lawsuit.Part
ID requirement,is on,However still hold pending federal lawsuit.Part
ID requirement,is on,still hold pending federal lawsuit.Part
ID requirement,is on,still hold pending federal lawsuit.Part of litigation
ID requirement,is on,hold pending lawsuit.Part of litigation
ID requirement,is on,However hold pending federal lawsuit.Part
ID requirement,is on,However hold pending lawsuit.Part of litigation
ID requirement,is on,However hold pending lawsuit.Part
ID requirement,is on,However still hold pending lawsuit.Part
ID requirement,is on,However hold pending federal lawsuit.Part of litigation
ID requirement,is on,still hold
ID requirement,is on,However still hold
ID requirement,is on,still hold pending lawsuit.Part of litigation
ID requirement,is on,However still hold pending federal lawsuit.Part of litigation
ID requirement,is on,However still hold pending lawsuit.Part of litigation
ID requirement,is on,still hold pending lawsuit.Part
ID requirement,is on,hold pending federal lawsuit.Part of litigation
ID requirement,is on,hold pending lawsuit.Part
ID requirement,is on,However hold
laws,differ from,state
costs,vary,laws themselves differ to state
laws,differ to,state
some,are,burdensome
costs,vary,laws differ to state
some,are,more burdensome
costs,vary,laws differ from state to state
costs,vary,laws themselves differ from state to state
some,are burdensome than,others
some,are far more burdensome than,others
some,are far burdensome than,others
costs,vary,laws differ from state
some,are,far burdensome
costs,vary,laws themselves differ from state
costs,vary,laws differ
costs,vary,laws themselves differ
some,are,far more burdensome
some,are more burdensome than,others
Wisconsin Supreme Court,addressing,benefits
Wisconsin Supreme Court,addressing,purported benefits
Wisconsin Supreme Court,blew,it
ID laws,enhance,confidence
court,cited idea at_time,Twice.First
us,feel,better
court,cited,idea
ID laws,enhance,public confidence
us,feel,better about elections
they,might provide,security theater
effect,is,hard
effect,is hard to,spot
People,is with,more restrictive ID laws
people,is in,more permissive states
supporter,was charged with,13 counts including registering
he,providing,false information
it,mentioned case according to,account Talking
it,Specifically mentioned,case
supporter,was,charged
it,mentioned,case
supporter,was charged with,13 counts of election fraud including registering
it,Specifically mentioned case according to,account Talking
Wisconsin,is,rare exception
people,cast,one incremental fake ballot
people,cast,incremental fake ballot
This,is,clunky
This,is,slow
happens.I,allegations of,fraud
Supreme Court,weighed in on,voter ID
I,looked at,single allegation
you,check,my work
you,can read,you want
comprehensive list,put in,perspective
list,put in,perspective
cast,have,have thoroughly investigated including prosecutions
cast,have,have investigated
cast,have,have investigated including prosecutions
cast,have,have thoroughly investigated
"3,000 votes",is in,general elections alone
four states,votes in,general elections alone
problem,is with,matching people
two different people,is with,same name
professor,is with,Loyola Law School
vote,was stolen by,impersonator at polls
you,information about,individual
I,am,interested
I,am,so interested
you,have,credible information about specific individual
you,have,information about individual
I,am,researcher
you,credible information about,specific individual
vote,was,stolen
I,am interested in,thorough list
you,information about,specific individual
I,so am interested in,list
vote,was stolen by,impersonator
you,have,credible information
I,am interested in,list
you,credible information about,individual
I,so am interested in,thorough list
you,have,credible information about individual
you,have,information about specific individual
you,have,information
you,have,information about incident below that
Ben Hodzic,allegedly voted at,polls in name
Ben Hodzic,voted at,polls in name of his brother
you,have,information about incident
Ben Hodzic,allegedly voted as,well.May 2014
Ben Hodzic,allegedly voted at,polls in name of his brother in Catskill School District Board of Education
it,was,error
his brother,is in,Catskill School District Board of Education
Ben Hodzic,allegedly voted at,polls in name of his brother in Catskill School District Board
you,information about,incident
Ben Hodzic,voted at,polls
Ben Hodzic,voted at,polls in name of his brother in Catskill School District Board of Education
Ben Hodzic,voted at,polls in name of his brother in Catskill School District Board
you,information about,incident below that
Ben Hodzic,voted at,polls in name
Ben Hodzic,voted as,well.May 2014
Ben Hodzic,allegedly voted at,polls in name of his brother
polls,is in,name of his brother
Ben Hodzic,allegedly voted at,polls
election,is in,Catskill
you,have,information
polls,is in,name of someone else
municipal election,is in,Worcester
someone,is in,municipal election
others ' names,is in,municipal primary elections for New York City
